time_bin,src,dst,packets,bytes,regime
5,s00000000,d00000105,3.261,923,hotspot_zipf
6,s00000282,d00000237,9.255,1268,hotspot_zipf
11,s00000351,d00000237,2.013,2437,hotspot_zipf
2,s00000081,d00000168,1.318,1540,hotspot_zipf
11,s00000000,d00000168,8.114,714,hotspot_zipf
2,s00000282,d00000247,3.646,2687,hotspot_zipf
10,s00000015,d00000168,3.37,2022,hotspot_zipf
13,s00000282,d00000168,23.837,22836,hotspot_zipf
6,s00000015,d00000473,1.12,1457,hotspot_zipf
7,s00000282,d00000168,4.149,3377,hotspot_zipf
2,s00000015,d00000168,0.665,955,hotspot_zipf
3,s00000140,d00000237,2.612,3079,hotspot_zipf
10,s00000188,d00000059,5.947,4864,hotspot_zipf
7,s00000282,d00000168,9.788,6147,hotspot_zipf
11,s00000015,d00000265,1.062,95,hotspot_zipf
1,s00000473,d00000237,7.482,4586,hotspot_zipf
7,s00000015,d00000373,7.127,5253,hotspot_zipf
7,s00000015,d00000168,3.076,2541,hotspot_zipf
9,s00000015,d00000168,33.745,24735,hotspot_zipf
3,s00000000,d00000168,3.451,4855,hotspot_zipf
10,s00000037,d00000119,1.524,1471,hotspot_zipf
6,s00000297,d00000102,5.116,3320,hotspot_zipf
9,s00000282,d00000143,0.614,767,hotspot_zipf
14,s00000015,d00000112,14.637,9543,hotspot_zipf
0,s00000015,d00000168,8.615,2136,hotspot_zipf
7,s00000015,d00000168,2.381,1824,hotspot_zipf
0,s00000297,d00000247,6.093,2900,hotspot_zipf
11,s00000140,d00000247,5.667,8189,hotspot_zipf
4,s00000466,d00000168,20.709,28351,hotspot_zipf
5,s00000282,d00000237,1.949,557,hotspot_zipf
2,s00000282,d00000168,1.042,1180,hotspot_zipf
3,s00000297,d00000168,0.523,468,hotspot_zipf
8,s00000297,d00000168,2.622,3170,hotspot_zipf
5,s00000015,d00000237,0.806,732,hotspot_zipf
5,s00000015,d00000484,2.935,3763,hotspot_zipf
3,s00000049,d00000314,5.041,6539,hotspot_zipf
9,s00000140,d00000080,2.288,1243,hotspot_zipf
8,s00000015,d00000237,1.436,784,hotspot_zipf
3,s00000062,d00000102,10.404,2892,hotspot_zipf
10,s00000282,d00000237,2.864,2626,hotspot_zipf
12,s00000015,d00000351,4.275,5451,hotspot_zipf
4,s00000015,d00000237,8.325,3447,hotspot_zipf
5,s00000015,d00000112,1.029,902,hotspot_zipf
11,s00000015,d00000168,1.466,883,hotspot_zipf
4,s00000473,d00000132,34.885,29513,hotspot_zipf
8,s00000000,d00000237,2.976,500,hotspot_zipf
12,s00000015,d00000237,1.312,961,hotspot_zipf
12,s00000015,d00000247,2.721,1227,hotspot_zipf
4,s00000140,d00000168,2.025,905,hotspot_zipf
12,s00000000,d00000237,1.103,665,hotspot_zipf
2,s00000101,d00000147,2.359,1144,hotspot_zipf
15,s00000015,d00000459,3.381,1613,hotspot_zipf
11,s00000015,d00000465,3.401,1554,hotspot_zipf
10,s00000321,d00000059,5.673,3613,hotspot_zipf
14,s00000015,d00000187,0.691,174,hotspot_zipf
1,s00000282,d00000246,0.861,400,hotspot_zipf
7,s00000020,d00000168,7.158,1754,hotspot_zipf
5,s00000032,d00000059,2.285,953,hotspot_zipf
7,s00000349,d00000011,10.635,10964,hotspot_zipf
6,s00000015,d00000237,4.566,2461,hotspot_zipf
2,s00000466,d00000023,0.933,719,hotspot_zipf
13,s00000421,d00000168,5.664,5630,hotspot_zipf
7,s00000282,d00000285,1.349,1214,hotspot_zipf
13,s00000000,d00000067,4.383,4063,hotspot_zipf
10,s00000282,d00000237,10.759,15568,hotspot_zipf
3,s00000262,d00000168,24.392,34661,hotspot_zipf
8,s00000297,d00000168,3.231,3095,hotspot_zipf
14,s00000015,d00000168,6.576,1664,hotspot_zipf
8,s00000473,d00000168,4.551,2785,hotspot_zipf
6,s00000411,d00000353,7.168,8465,hotspot_zipf
1,s00000015,d00000237,0.325,199,hotspot_zipf
10,s00000015,d00000168,2.404,421,hotspot_zipf
8,s00000000,d00000112,4.51,6319,hotspot_zipf
10,s00000352,d00000168,5.321,2012,hotspot_zipf
3,s00000441,d00000508,1.715,2002,hotspot_zipf
6,s00000483,d00000376,7.395,651,hotspot_zipf
3,s00000276,d00000082,9.572,13400,hotspot_zipf
8,s00000282,d00000168,3.677,2780,hotspot_zipf
3,s00000282,d00000168,2.793,3078,hotspot_zipf
7,s00000252,d00000168,2.477,201,hotspot_zipf
3,s00000473,d00000112,3.919,3962,hotspot_zipf
10,s00000265,d00000119,10.269,1582,hotspot_zipf
12,s00000015,d00000168,13.802,3078,hotspot_zipf
13,s00000158,d00000246,2.231,2139,hotspot_zipf
14,s00000000,d00000240,1.458,723,hotspot_zipf
8,s00000282,d00000237,1.655,1594,hotspot_zipf
3,s00000282,d00000237,8.57,6222,hotspot_zipf
14,s00000033,d00000021,4.231,829,hotspot_zipf
4,s00000368,d00000156,4.544,2635,hotspot_zipf
8,s00000297,d00000168,5.382,4973,hotspot_zipf
1,s00000015,d00000168,4.88,2133,hotspot_zipf
0,s00000015,d00000168,3.078,2019,hotspot_zipf
13,s00000015,d00000168,1.317,1139,hotspot_zipf
9,s00000015,d00000168,1.947,2467,hotspot_zipf
2,s00000015,d00000021,3.857,4957,hotspot_zipf
5,s00000084,d00000353,4.955,4276,hotspot_zipf
7,s00000466,d00000490,2.45,2210,hotspot_zipf
11,s00000015,d00000237,2.348,1860,hotspot_zipf
14,s00000429,d00000168,12.199,2769,hotspot_zipf
4,s00000282,d00000168,2.24,3221,hotspot_zipf
2,s00000368,d00000409,4.232,3161,hotspot_zipf
10,s00000020,d00000237,2.57,1146,hotspot_zipf
6,s00000000,d00000237,1.56,987,hotspot_zipf
3,s00000308,d00000237,0.849,588,hotspot_zipf
1,s00000015,d00000492,2.1,2435,hotspot_zipf
10,s00000015,d00000237,1.616,1834,hotspot_zipf
12,s00000321,d00000102,7.539,4976,hotspot_zipf
9,s00000282,d00000168,1.195,1275,hotspot_zipf
13,s00000015,d00000437,2.356,2954,hotspot_zipf
11,s00000015,d00000112,6.305,763,hotspot_zipf
12,s00000473,d00000063,3.107,2641,hotspot_zipf
0,s00000015,d00000063,5.441,441,hotspot_zipf
11,s00000282,d00000082,7.444,5568,hotspot_zipf
7,s00000015,d00000112,0.747,336,hotspot_zipf
6,s00000341,d00000247,2.358,1252,hotspot_zipf
11,s00000015,d00000237,1.422,2006,hotspot_zipf
0,s00000159,d00000247,11.941,5075,hotspot_zipf
7,s00000000,d00000183,3.093,479,hotspot_zipf
12,s00000217,d00000168,5.446,7505,hotspot_zipf
4,s00000364,d00000265,16.464,1531,hotspot_zipf
13,s00000015,d00000112,2.484,1309,hotspot_zipf
12,s00000015,d00000168,3.691,4946,hotspot_zipf
14,s00000297,d00000168,5.018,868,hotspot_zipf
10,s00000265,d00000237,2.695,698,hotspot_zipf
5,s00000015,d00000247,10.931,8832,hotspot_zipf
7,s00000282,d00000199,7.308,3668,hotspot_zipf
12,s00000095,d00000237,8.656,5047,hotspot_zipf
13,s00000392,d00000168,3.603,4536,hotspot_zipf
6,s00000015,d00000237,2.515,1350,hotspot_zipf
10,s00000297,d00000351,2.487,1529,hotspot_zipf
9,s00000282,d00000168,2.464,966,hotspot_zipf
15,s00000294,d00000247,0.762,96,hotspot_zipf
11,s00000015,d00000168,4.806,3989,hotspot_zipf
10,s00000282,d00000168,7.266,4650,hotspot_zipf
2,s00000282,d00000237,3.413,471,hotspot_zipf
15,s00000015,d00000112,2.185,2347,hotspot_zipf
3,s00000000,d00000151,3.563,3313,hotspot_zipf
11,s00000473,d00000112,4.233,1202,hotspot_zipf
14,s00000282,d00000168,4.648,3444,hotspot_zipf
7,s00000015,d00000237,17.892,7729,hotspot_zipf
11,s00000282,d00000237,1.571,2022,hotspot_zipf
0,s00000015,d00000147,4.806,2533,hotspot_zipf
9,s00000136,d00000168,6.476,8483,hotspot_zipf
11,s00000386,d00000112,3.697,292,hotspot_zipf
15,s00000084,d00000237,2.776,2265,hotspot_zipf
6,s00000015,d00000168,1.347,1370,hotspot_zipf
13,s00000015,d00000168,1.998,1033,hotspot_zipf
13,s00000015,d00000159,6.564,1260,hotspot_zipf
1,s00000015,d00000477,12.991,2182,hotspot_zipf
14,s00000015,d00000168,1.888,685,hotspot_zipf
5,s00000015,d00000492,5.293,1540,hotspot_zipf
13,s00000000,d00000168,5.532,3773,hotspot_zipf
1,s00000125,d00000151,8.643,2921,hotspot_zipf
8,s00000015,d00000240,4.3,4795,hotspot_zipf
0,s00000283,d00000409,5.153,5720,hotspot_zipf
10,s00000466,d00000112,7.785,1393,hotspot_zipf
6,s00000015,d00000353,1.187,527,hotspot_zipf
10,s00000252,d00000230,3.588,5037,hotspot_zipf
2,s00000158,d00000401,0.687,409,hotspot_zipf
7,s00000009,d00000474,0.569,435,hotspot_zipf
1,s00000015,d00000168,1.622,628,hotspot_zipf
6,s00000410,d00000470,0.844,249,hotspot_zipf
2,s00000140,d00000112,5.455,1866,hotspot_zipf
15,s00000321,d00000168,8.5,2635,hotspot_zipf
7,s00000000,d00000168,2.601,1956,hotspot_zipf
0,s00000262,d00000168,3.028,2449,hotspot_zipf
10,s00000395,d00000168,2.776,2332,hotspot_zipf
13,s00000395,d00000247,2.706,511,hotspot_zipf
2,s00000000,d00000102,3.884,4765,hotspot_zipf
2,s00000188,d00000168,4.725,1370,hotspot_zipf
0,s00000015,d00000168,2.254,811,hotspot_zipf
1,s00000297,d00000140,1.678,2327,hotspot_zipf
13,s00000003,d00000237,2.137,511,hotspot_zipf
12,s00000015,d00000168,7.112,9075,hotspot_zipf
4,s00000338,d00000203,2.341,2304,hotspot_zipf
0,s00000137,d00000203,12.828,11764,hotspot_zipf
1,s00000093,d00000247,2.753,1724,hotspot_zipf
10,s00000473,d00000459,11.885,13074,hotspot_zipf
2,s00000015,d00000449,1.159,1472,hotspot_zipf
3,s00000000,d00000168,1.826,396,hotspot_zipf
11,s00000015,d00000168,5.293,2281,hotspot_zipf
13,s00000015,d00000168,5.345,2378,hotspot_zipf
4,s00000015,d00000265,2.973,1371,hotspot_zipf
9,s00000252,d00000247,21.838,1878,hotspot_zipf
4,s00000473,d00000282,3.658,1310,hotspot_zipf
3,s00000258,d00000345,4.455,3872,hotspot_zipf
4,s00000282,d00000191,2.044,2935,hotspot_zipf
9,s00000015,d00000385,15.395,1078,hotspot_zipf
2,s00000252,d00000237,7.452,2027,hotspot_zipf
11,s00000297,d00000237,4.981,1046,hotspot_zipf
6,s00000262,d00000349,0.777,829,hotspot_zipf
13,s00000321,d00000237,4.761,6875,hotspot_zipf
11,s00000217,d00000247,2.244,1113,hotspot_zipf
0,s00000015,d00000459,4.889,919,hotspot_zipf
12,s00000260,d00000168,7.834,9691,hotspot_zipf
14,s00000140,d00000247,1.737,2481,hotspot_zipf
4,s00000015,d00000168,4.168,1584,hotspot_zipf
13,s00000282,d00000168,7.586,6152,hotspot_zipf
10,s00000349,d00000359,3.967,1964,hotspot_zipf
3,s00000015,d00000492,2.541,1881,hotspot_zipf
1,s00000206,d00000477,1.312,812,hotspot_zipf
9,s00000282,d00000247,1.868,450,hotspot_zipf
1,s00000020,d00000351,1.085,1291,hotspot_zipf
8,s00000015,d00000360,8.362,5101,hotspot_zipf
4,s00000015,d00000237,3.76,1357,hotspot_zipf
9,s00000206,d00000168,1.139,624,hotspot_zipf
8,s00000282,d00000033,3.404,2529,hotspot_zipf
3,s00000245,d00000247,1.065,1094,hotspot_zipf
13,s00000015,d00000247,0.175,106,hotspot_zipf
14,s00000352,d00000247,10.193,14526,hotspot_zipf
9,s00000466,d00000205,9.858,1380,hotspot_zipf
11,s00000015,d00000237,0.901,462,hotspot_zipf
9,s00000015,d00000246,1.787,1042,hotspot_zipf
9,s00000015,d00000168,4.117,408,hotspot_zipf
8,s00000365,d00000237,2.417,280,hotspot_zipf
15,s00000439,d00000158,1.577,2210,hotspot_zipf
1,s00000000,d00000168,2.148,1010,hotspot_zipf
5,s00000015,d00000237,2.749,2017,hotspot_zipf
7,s00000015,d00000202,2.073,1664,hotspot_zipf
8,s00000137,d00000168,4.13,2614,hotspot_zipf
1,s00000459,d00000112,2.77,1122,hotspot_zipf
10,s00000000,d00000237,1.717,1917,hotspot_zipf
5,s00000015,d00000112,3.489,4424,hotspot_zipf
9,s00000140,d00000282,0.762,726,hotspot_zipf
1,s00000188,d00000112,12.576,13569,hotspot_zipf
5,s00000297,d00000247,0.71,576,hotspot_zipf
6,s00000049,d00000168,3.165,734,hotspot_zipf
9,s00000015,d00000387,4.635,1196,hotspot_zipf
4,s00000015,d00000162,4.957,5086,hotspot_zipf
6,s00000473,d00000112,4.314,5048,hotspot_zipf
7,s00000297,d00000237,10.66,5149,hotspot_zipf
11,s00000015,d00000247,1.236,498,hotspot_zipf
15,s00000323,d00000168,3.202,3106,hotspot_zipf
5,s00000015,d00000168,3.89,3524,hotspot_zipf
11,s00000305,d00000237,2.179,2401,hotspot_zipf
7,s00000000,d00000168,1.995,648,hotspot_zipf
3,s00000395,d00000168,10.869,4739,hotspot_zipf
9,s00000015,d00000193,1.792,690,hotspot_zipf
3,s00000097,d00000168,2.212,900,hotspot_zipf
2,s00000282,d00000112,2.655,2469,hotspot_zipf
3,s00000158,d00000409,2.811,3412,hotspot_zipf
8,s00000015,d00000112,3.938,4316,hotspot_zipf
6,s00000015,d00000492,2.824,2833,hotspot_zipf
14,s00000015,d00000351,4.762,6714,hotspot_zipf
15,s00000000,d00000168,3.843,4154,hotspot_zipf
11,s00000015,d00000351,5.24,5292,hotspot_zipf
14,s00000015,d00000078,11.669,14376,hotspot_zipf
8,s00000120,d00000187,1.59,1504,hotspot_zipf
8,s00000015,d00000168,15.008,7879,hotspot_zipf
2,s00000262,d00000168,2.269,2031,hotspot_zipf
8,s00000015,d00000384,6.183,1088,hotspot_zipf
9,s00000000,d00000059,3.925,1821,hotspot_zipf
4,s00000015,d00000353,2.602,1017,hotspot_zipf
6,s00000297,d00000095,0.582,775,hotspot_zipf
3,s00000015,d00000237,14.463,1678,hotspot_zipf
6,s00000020,d00000168,1.719,1494,hotspot_zipf
6,s00000297,d00000168,1.672,681,hotspot_zipf
11,s00000020,d00000445,8.819,1217,hotspot_zipf
4,s00000413,d00000285,3.632,2252,hotspot_zipf
15,s00000449,d00000102,18.731,13561,hotspot_zipf
12,s00000015,d00000168,15.375,5766,hotspot_zipf
8,s00000282,d00000168,6.411,3430,hotspot_zipf
6,s00000015,d00000241,4.254,3718,hotspot_zipf
2,s00000015,d00000021,6.726,1890,hotspot_zipf
6,s00000050,d00000353,1.04,304,hotspot_zipf
10,s00000262,d00000351,3.956,4039,hotspot_zipf
15,s00000468,d00000487,3.871,2977,hotspot_zipf
7,s00000015,d00000143,2.221,2628,hotspot_zipf
6,s00000282,d00000147,4.258,711,hotspot_zipf
13,s00000140,d00000343,0.914,1195,hotspot_zipf
8,s00000015,d00000168,7.613,5946,hotspot_zipf
12,s00000473,d00000168,10.753,13699,hotspot_zipf
11,s00000282,d00000033,1.061,1236,hotspot_zipf
5,s00000015,d00000156,3.86,5519,hotspot_zipf
1,s00000439,d00000237,13.542,2560,hotspot_zipf
13,s00000015,d00000247,4.931,1622,hotspot_zipf
5,s00000015,d00000168,1.345,749,hotspot_zipf
8,s00000015,d00000416,1.398,1194,hotspot_zipf
4,s00000473,d00000168,7.272,6392,hotspot_zipf
11,s00000000,d00000168,17.498,10989,hotspot_zipf
12,s00000449,d00000168,1.28,1750,hotspot_zipf
0,s00000274,d00000168,3.501,3749,hotspot_zipf
15,s00000000,d00000168,1.689,166,hotspot_zipf
4,s00000252,d00000314,2.623,2675,hotspot_zipf
15,s00000105,d00000168,4.461,3274,hotspot_zipf
13,s00000247,d00000168,3.26,544,hotspot_zipf
12,s00000282,d00000168,1.832,2615,hotspot_zipf
0,s00000282,d00000447,22.231,9893,hotspot_zipf
2,s00000500,d00000237,2.936,1207,hotspot_zipf
10,s00000015,d00000102,2.875,1055,hotspot_zipf
13,s00000339,d00000168,9.121,748,hotspot_zipf
14,s00000020,d00000168,3.419,557,hotspot_zipf
3,s00000305,d00000027,2.821,1278,hotspot_zipf
13,s00000416,d00000492,7.898,3483,hotspot_zipf
0,s00000487,d00000410,1.341,1868,hotspot_zipf
2,s00000015,d00000102,6.598,4810,hotspot_zipf
14,s00000093,d00000177,8.489,10271,hotspot_zipf
2,s00000473,d00000168,6.11,3018,hotspot_zipf
12,s00000473,d00000147,2.882,424,hotspot_zipf
6,s00000015,d00000168,3.356,913,hotspot_zipf
9,s00000473,d00000068,0.729,796,hotspot_zipf
0,s00000020,d00000237,3.009,3535,hotspot_zipf
4,s00000015,d00000168,4.376,4433,hotspot_zipf
9,s00000297,d00000237,7.331,1129,hotspot_zipf
5,s00000140,d00000314,3.836,3422,hotspot_zipf
10,s00000084,d00000203,2.388,960,hotspot_zipf
0,s00000015,d00000168,1.599,2095,hotspot_zipf
10,s00000040,d00000112,3.244,3279,hotspot_zipf
10,s00000015,d00000237,3.809,998,hotspot_zipf
13,s00000000,d00000237,9.941,6213,hotspot_zipf
2,s00000297,d00000254,3.405,2101,hotspot_zipf
5,s00000249,d00000112,2.162,2071,hotspot_zipf
2,s00000282,d00000059,3.07,3358,hotspot_zipf
0,s00000321,d00000359,2.196,378,hotspot_zipf
13,s00000015,d00000237,2.74,2370,hotspot_zipf
2,s00000015,d00000102,0.472,643,hotspot_zipf
7,s00000015,d00000237,0.817,631,hotspot_zipf
13,s00000015,d00000072,1.165,708,hotspot_zipf
9,s00000297,d00000237,5.113,7271,hotspot_zipf
2,s00000015,d00000179,3.149,3808,hotspot_zipf
6,s00000015,d00000239,3.848,4368,hotspot_zipf
1,s00000282,d00000102,9.508,6104,hotspot_zipf
4,s00000015,d00000409,1.334,1276,hotspot_zipf
10,s00000015,d00000466,9.341,11349,hotspot_zipf
7,s00000282,d00000492,4.753,3475,hotspot_zipf
9,s00000297,d00000247,1.787,191,hotspot_zipf
0,s00000015,d00000168,12.704,8588,hotspot_zipf
14,s00000282,d00000492,0.948,425,hotspot_zipf
2,s00000000,d00000237,1.237,221,hotspot_zipf
12,s00000020,d00000246,2.803,4034,hotspot_zipf
8,s00000253,d00000237,4.839,2729,hotspot_zipf
14,s00000015,d00000147,2.845,469,hotspot_zipf
8,s00000015,d00000351,0.504,466,hotspot_zipf
14,s00000269,d00000237,2.586,3223,hotspot_zipf
8,s00000262,d00000156,3.129,1677,hotspot_zipf
0,s00000015,d00000168,32.449,19080,hotspot_zipf
7,s00000282,d00000112,11.447,7109,hotspot_zipf
15,s00000015,d00000168,3.762,2754,hotspot_zipf
13,s00000473,d00000492,1.278,478,hotspot_zipf
4,s00000015,d00000168,4.57,2098,hotspot_zipf
0,s00000015,d00000168,1.195,1179,hotspot_zipf
1,s00000015,d00000285,4.038,2209,hotspot_zipf
10,s00000487,d00000102,4.67,4993,hotspot_zipf
14,s00000015,d00000112,2.36,3368,hotspot_zipf
3,s00000264,d00000247,4.208,745,hotspot_zipf
4,s00000487,d00000112,2.513,1787,hotspot_zipf
10,s00000473,d00000237,2.029,381,hotspot_zipf
2,s00000000,d00000314,13.185,3402,hotspot_zipf
10,s00000187,d00000187,5.649,7061,hotspot_zipf
9,s00000262,d00000101,2.565,2867,hotspot_zipf
6,s00000282,d00000147,1.704,2392,hotspot_zipf
13,s00000015,d00000168,3.944,1412,hotspot_zipf
1,s00000015,d00000484,5.575,1589,hotspot_zipf
5,s00000000,d00000237,7.18,5773,hotspot_zipf
8,s00000000,d00000237,12.48,3694,hotspot_zipf
13,s00000217,d00000237,5.076,5842,hotspot_zipf
3,s00000011,d00000168,1.246,761,hotspot_zipf
15,s00000015,d00000237,20.447,14210,hotspot_zipf
3,s00000015,d00000021,9.444,6658,hotspot_zipf
8,s00000000,d00000168,7.048,1374,hotspot_zipf
11,s00000000,d00000314,11.042,11837,hotspot_zipf
3,s00000466,d00000147,0.897,965,hotspot_zipf
13,s00000042,d00000237,2.417,2920,hotspot_zipf
4,s00000015,d00000246,2.137,2878,hotspot_zipf
1,s00000282,d00000112,9.684,3515,hotspot_zipf
