time_bin,src,dst,packets,bytes,regime,target_nnz
0,s00000194,d00000198,4.488,6360,controlled,800
4,s00000092,d00000048,3.563,4248,controlled,800
3,s00000055,d00000016,11.702,14861,controlled,800
11,s00000074,d00000041,6.169,6502,controlled,800
13,s00000036,d00000223,1.463,385,controlled,800
8,s00000143,d00000153,23.488,28772,controlled,800
12,s00000212,d00000089,1.974,424,controlled,800
10,s00000020,d00000012,3.16,3024,controlled,800
2,s00000010,d00000094,3.668,488,controlled,800
12,s00000227,d00000111,5.105,4150,controlled,800
5,s00000053,d00000041,0.831,278,controlled,800
0,s00000063,d00000196,9.088,9642,controlled,800
7,s00000190,d00000074,11.869,13483,controlled,800
11,s00000037,d00000141,1.285,1738,controlled,800
14,s00000011,d00000030,2.04,796,controlled,800
14,s00000081,d00000211,4.884,3780,controlled,800
13,s00000136,d00000164,6.483,5764,controlled,800
13,s00000144,d00000114,0.184,40,controlled,800
3,s00000240,d00000186,6.438,5433,controlled,800
5,s00000107,d00000040,2.662,1760,controlled,800
4,s00000190,d00000048,11.081,15457,controlled,800
15,s00000153,d00000131,4.292,3897,controlled,800
14,s00000086,d00000073,5.748,3811,controlled,800
10,s00000143,d00000153,13.979,3327,controlled,800
12,s00000062,d00000016,2.229,784,controlled,800
2,s00000146,d00000015,10.292,9365,controlled,800
12,s00000027,d00000105,6.475,5051,controlled,800
14,s00000163,d00000079,6.848,9676,controlled,800
6,s00000131,d00000121,1.984,1158,controlled,800
4,s00000183,d00000239,5.673,1260,controlled,800
14,s00000147,d00000072,3.802,856,controlled,800
5,s00000107,d00000040,12.951,10503,controlled,800
2,s00000146,d00000224,6.119,7863,controlled,800
12,s00000046,d00000248,2.402,1912,controlled,800
0,s00000214,d00000168,3.276,1792,controlled,800
4,s00000116,d00000078,9.425,8143,controlled,800
14,s00000204,d00000200,3.664,275,controlled,800
8,s00000131,d00000253,4.72,415,controlled,800
1,s00000027,d00000105,9.341,11611,controlled,800
5,s00000188,d00000130,3.668,616,controlled,800
0,s00000111,d00000075,12.778,15807,controlled,800
11,s00000160,d00000238,7.446,7215,controlled,800
13,s00000092,d00000201,3.853,2335,controlled,800
6,s00000127,d00000165,6.997,7731,controlled,800
7,s00000092,d00000048,12.081,14026,controlled,800
1,s00000116,d00000150,10.362,13014,controlled,800
14,s00000144,d00000114,3.897,2938,controlled,800
3,s00000210,d00000183,3.824,3051,controlled,800
7,s00000215,d00000141,6.767,6137,controlled,800
11,s00000252,d00000245,5.119,2519,controlled,800
10,s00000162,d00000074,5.309,3786,controlled,800
7,s00000190,d00000236,6.592,5695,controlled,800
7,s00000207,d00000158,2.422,581,controlled,800
14,s00000127,d00000165,8.461,1760,controlled,800
8,s00000014,d00000130,4.268,5899,controlled,800
8,s00000240,d00000128,3.117,3959,controlled,800
4,s00000123,d00000194,13.468,1145,controlled,800
3,s00000151,d00000130,7.288,1450,controlled,800
1,s00000005,d00000036,10.35,1066,controlled,800
5,s00000232,d00000065,7.14,8082,controlled,800
7,s00000230,d00000029,1.752,1202,controlled,800
6,s00000096,d00000008,0.822,345,controlled,800
7,s00000058,d00000237,2.507,847,controlled,800
14,s00000135,d00000039,7.455,8111,controlled,800
10,s00000118,d00000093,4.021,4914,controlled,800
4,s00000050,d00000101,4.268,1558,controlled,800
1,s00000085,d00000012,5.706,7246,controlled,800
15,s00000223,d00000061,3.512,1549,controlled,800
4,s00000184,d00000184,3.334,1627,controlled,800
15,s00000190,d00000048,3.642,4396,controlled,800
1,s00000113,d00000077,4.237,801,controlled,800
8,s00000119,d00000078,1.701,463,controlled,800
0,s00000043,d00000073,7.287,5983,controlled,800
4,s00000215,d00000068,4.54,4871,controlled,800
4,s00000096,d00000169,5.429,3187,controlled,800
1,s00000229,d00000032,3.19,1161,controlled,800
1,s00000206,d00000135,9.348,13415,controlled,800
5,s00000107,d00000040,0.992,64,controlled,800
3,s00000051,d00000088,3.497,2073,controlled,800
0,s00000020,d00000012,9.679,3049,controlled,800
9,s00000110,d00000133,6.044,5585,controlled,800
9,s00000196,d00000144,5.806,2264,controlled,800
8,s00000248,d00000247,1.975,2753,controlled,800
9,s00000227,d00000035,1.565,1616,controlled,800
4,s00000246,d00000222,5.554,7309,controlled,800
3,s00000003,d00000159,5.108,2748,controlled,800
0,s00000095,d00000186,11.298,2881,controlled,800
12,s00000155,d00000040,2.779,3013,controlled,800
14,s00000238,d00000242,3.754,2478,controlled,800
11,s00000110,d00000225,3.35,3324,controlled,800
15,s00000063,d00000196,3.234,2555,controlled,800
14,s00000162,d00000235,4.26,1828,controlled,800
5,s00000206,d00000242,5.216,5790,controlled,800
1,s00000019,d00000196,4.796,3823,controlled,800
9,s00000155,d00000040,6.93,8677,controlled,800
7,s00000234,d00000009,11.887,5872,controlled,800
2,s00000096,d00000007,4.846,6339,controlled,800
7,s00000109,d00000059,3.397,3268,controlled,800
10,s00000160,d00000238,12.036,10568,controlled,800
6,s00000171,d00000223,3.449,4114,controlled,800
3,s00000226,d00000044,4.317,5124,controlled,800
11,s00000061,d00000234,4.336,5446,controlled,800
8,s00000028,d00000176,5.656,7178,controlled,800
0,s00000056,d00000244,12.594,8173,controlled,800
15,s00000118,d00000107,14.707,3133,controlled,800
15,s00000084,d00000017,8.182,9106,controlled,800
12,s00000234,d00000021,4.023,5721,controlled,800
11,s00000230,d00000029,14.383,3610,controlled,800
4,s00000071,d00000049,2.591,1366,controlled,800
11,s00000032,d00000021,5.396,4792,controlled,800
13,s00000067,d00000250,14.921,1298,controlled,800
10,s00000180,d00000229,6.144,909,controlled,800
4,s00000168,d00000187,1.483,657,controlled,800
9,s00000206,d00000242,5.69,6048,controlled,800
11,s00000031,d00000131,6.149,5915,controlled,800
1,s00000136,d00000199,9.489,2353,controlled,800
3,s00000206,d00000242,1.522,897,controlled,800
14,s00000212,d00000089,13.818,11068,controlled,800
13,s00000230,d00000029,2.032,1800,controlled,800
9,s00000020,d00000199,9.189,4025,controlled,800
2,s00000211,d00000164,1.918,2220,controlled,800
10,s00000196,d00000144,2.619,3565,controlled,800
3,s00000087,d00000207,6.382,3210,controlled,800
9,s00000246,d00000078,2.852,3240,controlled,800
10,s00000045,d00000198,4.489,1567,controlled,800
13,s00000087,d00000220,10.732,1846,controlled,800
0,s00000046,d00000248,4.331,4760,controlled,800
5,s00000008,d00000130,2.026,2312,controlled,800
11,s00000101,d00000052,10.225,1861,controlled,800
1,s00000041,d00000050,4.415,5373,controlled,800
5,s00000223,d00000024,0.903,1217,controlled,800
6,s00000214,d00000085,6.285,798,controlled,800
13,s00000227,d00000111,5.647,6884,controlled,800
2,s00000210,d00000202,2.469,247,controlled,800
4,s00000062,d00000016,5.615,3027,controlled,800
15,s00000195,d00000060,5.109,5401,controlled,800
10,s00000133,d00000177,4.67,3535,controlled,800
0,s00000206,d00000242,4.218,772,controlled,800
8,s00000241,d00000030,1.067,1157,controlled,800
12,s00000185,d00000157,7.098,1732,controlled,800
12,s00000100,d00000208,5.663,7435,controlled,800
2,s00000245,d00000084,2.013,352,controlled,800
4,s00000146,d00000015,6.709,9553,controlled,800
12,s00000203,d00000220,13.283,1302,controlled,800
0,s00000046,d00000192,1.842,1403,controlled,800
3,s00000238,d00000242,6.802,8176,controlled,800
14,s00000075,d00000146,0.485,311,controlled,800
5,s00000220,d00000240,4.75,4507,controlled,800
4,s00000046,d00000164,12.442,1841,controlled,800
3,s00000223,d00000099,1.914,1422,controlled,800
13,s00000219,d00000254,1.766,2546,controlled,800
13,s00000184,d00000184,6.617,1065,controlled,800
5,s00000051,d00000144,6.091,2650,controlled,800
8,s00000182,d00000001,3.166,4245,controlled,800
5,s00000248,d00000247,7.653,2816,controlled,800
13,s00000048,d00000202,2.644,2379,controlled,800
4,s00000252,d00000187,7.579,9814,controlled,800
9,s00000011,d00000030,13.137,7291,controlled,800
12,s00000143,d00000153,1.857,2052,controlled,800
3,s00000096,d00000162,10.983,2449,controlled,800
2,s00000223,d00000024,12.159,8973,controlled,800
13,s00000160,d00000238,3.754,2039,controlled,800
10,s00000135,d00000039,11.166,10608,controlled,800
2,s00000168,d00000204,3.916,1993,controlled,800
7,s00000016,d00000097,7.985,10835,controlled,800
7,s00000229,d00000049,16.301,8966,controlled,800
8,s00000230,d00000029,7.008,5025,controlled,800
5,s00000202,d00000033,7.286,4597,controlled,800
13,s00000020,d00000200,2.471,358,controlled,800
0,s00000226,d00000229,1.491,2137,controlled,800
0,s00000240,d00000128,3.92,5680,controlled,800
8,s00000078,d00000190,3.518,4162,controlled,800
10,s00000031,d00000131,6.745,9511,controlled,800
7,s00000183,d00000239,0.539,472,controlled,800
9,s00000254,d00000253,7.856,10330,controlled,800
6,s00000223,d00000024,2.363,520,controlled,800
4,s00000086,d00000050,2.489,844,controlled,800
11,s00000143,d00000236,14.933,14649,controlled,800
0,s00000185,d00000200,2.401,1150,controlled,800
4,s00000146,d00000224,1.899,2460,controlled,800
14,s00000240,d00000056,14.907,1953,controlled,800
8,s00000213,d00000215,1.578,1327,controlled,800
9,s00000130,d00000032,8.613,7381,controlled,800
8,s00000194,d00000066,8.823,4888,controlled,800
15,s00000206,d00000135,2.636,3556,controlled,800
6,s00000065,d00000221,9.315,3391,controlled,800
9,s00000024,d00000176,2.292,1868,controlled,800
9,s00000204,d00000200,3.789,5334,controlled,800
6,s00000014,d00000185,9.776,2131,controlled,800
14,s00000063,d00000196,9.285,8625,controlled,800
10,s00000027,d00000105,5.464,1350,controlled,800
1,s00000064,d00000074,5.001,2920,controlled,800
15,s00000172,d00000071,0.868,973,controlled,800
1,s00000230,d00000029,4.837,4600,controlled,800
3,s00000230,d00000250,6.2,2387,controlled,800
12,s00000193,d00000195,3.026,2657,controlled,800
15,s00000215,d00000141,1.841,2073,controlled,800
4,s00000067,d00000250,13.356,8468,controlled,800
5,s00000202,d00000157,6.278,5556,controlled,800
6,s00000131,d00000253,6.074,3547,controlled,800
7,s00000038,d00000085,0.879,528,controlled,800
0,s00000200,d00000142,11.073,8936,controlled,800
8,s00000070,d00000239,6.003,4070,controlled,800
11,s00000204,d00000003,3.689,2136,controlled,800
2,s00000014,d00000185,2.244,2713,controlled,800
13,s00000185,d00000157,5.616,7778,controlled,800
4,s00000233,d00000207,4.245,5935,controlled,800
3,s00000033,d00000022,7.651,10879,controlled,800
5,s00000188,d00000165,7.593,2103,controlled,800
8,s00000204,d00000156,10.231,4430,controlled,800
4,s00000019,d00000196,4.314,4931,controlled,800
9,s00000150,d00000216,12.933,17356,controlled,800
0,s00000191,d00000023,2.104,1930,controlled,800
4,s00000037,d00000104,5.08,7001,controlled,800
11,s00000216,d00000026,2.847,1110,controlled,800
0,s00000208,d00000013,2.939,2369,controlled,800
14,s00000209,d00000089,4.031,1374,controlled,800
1,s00000210,d00000202,13.645,5540,controlled,800
4,s00000015,d00000186,0.562,205,controlled,800
1,s00000222,d00000231,2.254,2576,controlled,800
0,s00000086,d00000127,3.091,4291,controlled,800
14,s00000088,d00000094,5.144,2562,controlled,800
9,s00000147,d00000239,9.21,9846,controlled,800
5,s00000240,d00000056,7.786,2842,controlled,800
7,s00000242,d00000106,3.478,230,controlled,800
14,s00000131,d00000182,2.647,1358,controlled,800
1,s00000099,d00000155,2.019,1302,controlled,800
1,s00000101,d00000052,12.345,3123,controlled,800
14,s00000035,d00000211,11.168,12184,controlled,800
4,s00000168,d00000182,2.315,2130,controlled,800
9,s00000246,d00000222,14.985,5185,controlled,800
9,s00000239,d00000172,8.646,10116,controlled,800
12,s00000125,d00000249,5.458,3668,controlled,800
12,s00000202,d00000176,4.863,3521,controlled,800
1,s00000146,d00000043,5.717,2899,controlled,800
15,s00000027,d00000105,12.017,5492,controlled,800
6,s00000048,d00000170,0.909,690,controlled,800
9,s00000053,d00000041,9.359,5850,controlled,800
10,s00000034,d00000018,7.514,1495,controlled,800
3,s00000140,d00000008,5.368,1514,controlled,800
6,s00000024,d00000132,2.736,2684,controlled,800
12,s00000163,d00000146,5.612,8114,controlled,800
13,s00000250,d00000060,2.651,557,controlled,800
1,s00000029,d00000211,4.036,1610,controlled,800
15,s00000001,d00000080,1.111,853,controlled,800
9,s00000081,d00000211,4.669,1046,controlled,800
12,s00000241,d00000149,0.447,132,controlled,800
11,s00000076,d00000180,4.739,2147,controlled,800
5,s00000067,d00000002,1.576,1418,controlled,800
5,s00000078,d00000018,3.902,5092,controlled,800
6,s00000107,d00000040,4.472,724,controlled,800
3,s00000059,d00000001,7.484,3270,controlled,800
8,s00000046,d00000248,2.782,1138,controlled,800
12,s00000173,d00000093,1.714,1052,controlled,800
2,s00000144,d00000107,3.616,4105,controlled,800
6,s00000228,d00000193,8.301,9654,controlled,800
9,s00000142,d00000138,8.554,1779,controlled,800
7,s00000159,d00000128,10.411,5944,controlled,800
11,s00000151,d00000160,9.749,3461,controlled,800
11,s00000094,d00000144,8.422,893,controlled,800
1,s00000162,d00000214,1.573,1451,controlled,800
15,s00000173,d00000093,17.058,24205,controlled,800
12,s00000075,d00000110,6.922,6105,controlled,800
1,s00000063,d00000057,3.426,774,controlled,800
10,s00000162,d00000171,1.796,280,controlled,800
5,s00000159,d00000066,4.804,5529,controlled,800
11,s00000167,d00000215,1.515,1238,controlled,800
9,s00000163,d00000146,3.783,2879,controlled,800
2,s00000047,d00000004,8.857,11940,controlled,800
13,s00000115,d00000156,6.737,4366,controlled,800
11,s00000008,d00000081,9.317,2087,controlled,800
15,s00000202,d00000157,0.067,53,controlled,800
3,s00000225,d00000105,7.181,4194,controlled,800
1,s00000077,d00000164,11.781,13878,controlled,800
6,s00000116,d00000020,5.43,630,controlled,800
10,s00000238,d00000242,6.34,8255,controlled,800
14,s00000247,d00000243,3.292,3227,controlled,800
1,s00000114,d00000074,5.877,1605,controlled,800
11,s00000086,d00000105,8.185,1522,controlled,800
0,s00000171,d00000099,2.42,687,controlled,800
6,s00000144,d00000107,5.211,3148,controlled,800
13,s00000206,d00000242,5.495,357,controlled,800
14,s00000241,d00000154,3.327,1081,controlled,800
9,s00000125,d00000072,2.719,3417,controlled,800
1,s00000122,d00000089,17.159,19200,controlled,800
7,s00000077,d00000053,5.147,3274,controlled,800
2,s00000042,d00000034,1.889,612,controlled,800
10,s00000198,d00000011,5.701,4219,controlled,800
12,s00000223,d00000051,6.743,3135,controlled,800
6,s00000230,d00000029,8.154,5618,controlled,800
5,s00000123,d00000205,10.97,10937,controlled,800
15,s00000189,d00000118,4.874,1072,controlled,800
12,s00000234,d00000021,11.352,1964,controlled,800
3,s00000163,d00000146,10.299,9836,controlled,800
0,s00000019,d00000196,8.595,7048,controlled,800
14,s00000112,d00000152,4.386,5264,controlled,800
1,s00000181,d00000118,15.108,4336,controlled,800
10,s00000223,d00000024,3.483,5044,controlled,800
7,s00000215,d00000141,4.103,1280,controlled,800
8,s00000143,d00000236,4.322,1629,controlled,800
6,s00000079,d00000220,5.827,8420,controlled,800
8,s00000028,d00000243,10.801,2365,controlled,800
10,s00000024,d00000132,6.593,1147,controlled,800
7,s00000139,d00000040,3.669,2029,controlled,800
8,s00000111,d00000145,9.901,4079,controlled,800
14,s00000114,d00000074,3.065,2967,controlled,800
14,s00000002,d00000252,3.56,1915,controlled,800
4,s00000096,d00000007,6.029,2424,controlled,800
0,s00000251,d00000107,7.195,7562,controlled,800
12,s00000226,d00000044,4.027,4506,controlled,800
6,s00000031,d00000237,2.977,991,controlled,800
7,s00000218,d00000101,2.47,2557,controlled,800
10,s00000086,d00000089,4.13,1008,controlled,800
8,s00000126,d00000215,4.6,1872,controlled,800
0,s00000118,d00000173,3.569,1563,controlled,800
10,s00000147,d00000153,4.507,2456,controlled,800
14,s00000221,d00000009,3.808,3415,controlled,800
10,s00000034,d00000181,6.355,5300,controlled,800
11,s00000135,d00000039,19.466,27388,controlled,800
14,s00000034,d00000221,4.337,2485,controlled,800
6,s00000167,d00000215,1.445,1252,controlled,800
3,s00000217,d00000119,8.039,7340,controlled,800
9,s00000151,d00000040,12.672,1064,controlled,800
8,s00000037,d00000203,3.947,2645,controlled,800
4,s00000215,d00000141,5.118,3014,controlled,800
8,s00000085,d00000012,10.773,6787,controlled,800
7,s00000058,d00000237,3.683,3013,controlled,800
7,s00000009,d00000007,4.01,742,controlled,800
2,s00000065,d00000221,0.869,1022,controlled,800
9,s00000023,d00000115,2.821,226,controlled,800
0,s00000135,d00000039,9.97,14227,controlled,800
8,s00000218,d00000101,15.035,1594,controlled,800
3,s00000151,d00000145,16.401,4133,controlled,800
7,s00000160,d00000238,3.235,2484,controlled,800
12,s00000173,d00000191,1.909,2277,controlled,800
0,s00000072,d00000025,4.061,5105,controlled,800
5,s00000226,d00000044,3.043,3177,controlled,800
7,s00000147,d00000239,3.595,413,controlled,800
11,s00000249,d00000019,5.987,5741,controlled,800
10,s00000168,d00000204,1.735,300,controlled,800
14,s00000230,d00000250,2.525,2083,controlled,800
13,s00000241,d00000170,7.03,5062,controlled,800
2,s00000232,d00000168,7.172,6907,controlled,800
14,s00000115,d00000134,7.11,8333,controlled,800
11,s00000215,d00000141,1.421,727,controlled,800
15,s00000215,d00000000,5.884,2271,controlled,800
7,s00000050,d00000058,10.348,1656,controlled,800
9,s00000215,d00000087,4.216,1514,controlled,800
10,s00000238,d00000189,2.136,905,controlled,800
5,s00000082,d00000078,3.596,4862,controlled,800
14,s00000239,d00000133,10.759,1054,controlled,800
4,s00000163,d00000079,9.999,5250,controlled,800
12,s00000162,d00000214,2.187,2504,controlled,800
11,s00000183,d00000239,2.671,2976,controlled,800
13,s00000162,d00000214,6.147,2674,controlled,800
2,s00000182,d00000050,11.549,3696,controlled,800
2,s00000142,d00000138,12.579,16743,controlled,800
1,s00000236,d00000222,0.329,449,controlled,800
13,s00000050,d00000220,4.406,3763,controlled,800
3,s00000188,d00000151,3.273,1358,controlled,800
15,s00000208,d00000013,5.636,5783,controlled,800
8,s00000107,d00000040,15.828,3989,controlled,800
15,s00000229,d00000054,6.128,4725,controlled,800
4,s00000079,d00000182,2.564,410,controlled,800
12,s00000060,d00000073,14.434,18259,controlled,800
0,s00000008,d00000081,10.3,13751,controlled,800
13,s00000136,d00000164,6.508,7302,controlled,800
0,s00000231,d00000003,8.384,9181,controlled,800
9,s00000167,d00000111,4.271,1038,controlled,800
7,s00000241,d00000154,6.134,6189,controlled,800
15,s00000113,d00000041,1.675,1697,controlled,800
11,s00000058,d00000018,11.402,16441,controlled,800
11,s00000031,d00000202,6.514,7889,controlled,800
11,s00000238,d00000242,3.022,4001,controlled,800
1,s00000090,d00000045,12.851,13262,controlled,800
1,s00000014,d00000185,12.041,1975,controlled,800
5,s00000111,d00000145,11.337,13797,controlled,800
9,s00000161,d00000164,5.823,6860,controlled,800
1,s00000253,d00000139,8.095,8232,controlled,800
12,s00000198,d00000252,2.186,1946,controlled,800
14,s00000146,d00000043,3.522,2444,controlled,800
6,s00000063,d00000013,2.239,844,controlled,800
0,s00000212,d00000037,8.764,1446,controlled,800
12,s00000175,d00000047,3.518,4802,controlled,800
8,s00000042,d00000240,5.94,2328,controlled,800
3,s00000240,d00000186,4.05,494,controlled,800
11,s00000160,d00000238,6.011,6365,controlled,800
4,s00000249,d00000019,3.139,2194,controlled,800
6,s00000250,d00000060,3.024,1424,controlled,800
5,s00000107,d00000040,2.006,1260,controlled,800
14,s00000042,d00000115,5.436,6099,controlled,800
14,s00000028,d00000243,7.437,10739,controlled,800
5,s00000106,d00000081,1.356,1613,controlled,800
9,s00000184,d00000029,10.015,1783,controlled,800
6,s00000037,d00000141,13.295,19158,controlled,800
14,s00000218,d00000210,2.625,3250,controlled,800
3,s00000032,d00000224,4.072,5313,controlled,800
15,s00000024,d00000132,2.23,3210,controlled,800
13,s00000155,d00000040,10.637,15094,controlled,800
7,s00000210,d00000213,15.676,8810,controlled,800
9,s00000246,d00000078,6.089,2442,controlled,800
10,s00000201,d00000157,0.654,393,controlled,800
11,s00000110,d00000225,12.882,2499,controlled,800
14,s00000113,d00000138,0.905,1109,controlled,800
9,s00000214,d00000168,6.87,8409,controlled,800
1,s00000040,d00000138,6.302,3567,controlled,800
6,s00000202,d00000255,4.453,2293,controlled,800
7,s00000024,d00000132,3.809,3409,controlled,800
0,s00000095,d00000186,2.575,3332,controlled,800
0,s00000045,d00000198,3.55,1250,controlled,800
12,s00000151,d00000142,9.545,10079,controlled,800
3,s00000190,d00000236,6.746,2469,controlled,800
15,s00000240,d00000056,3.761,5371,controlled,800
13,s00000193,d00000058,2.382,1003,controlled,800
3,s00000210,d00000213,2.135,745,controlled,800
11,s00000064,d00000101,3.48,4391,controlled,800
10,s00000086,d00000073,7.844,3561,controlled,800
5,s00000055,d00000016,7.216,1883,controlled,800
10,s00000026,d00000244,5.905,5959,controlled,800
6,s00000230,d00000029,3.512,4400,controlled,800
0,s00000070,d00000110,3.054,232,controlled,800
7,s00000184,d00000184,4.608,2276,controlled,800
8,s00000077,d00000164,7.772,7826,controlled,800
13,s00000000,d00000242,1.367,1259,controlled,800
10,s00000108,d00000093,1.816,1499,controlled,800
11,s00000115,d00000134,5.448,7758,controlled,800
13,s00000102,d00000233,1.512,1116,controlled,800
1,s00000161,d00000125,9.238,6457,controlled,800
8,s00000013,d00000249,9.99,1638,controlled,800
6,s00000152,d00000189,3.517,3165,controlled,800
0,s00000087,d00000083,7.715,8456,controlled,800
9,s00000028,d00000041,1.979,665,controlled,800
8,s00000008,d00000130,1.691,233,controlled,800
6,s00000034,d00000181,5.393,3829,controlled,800
15,s00000153,d00000074,12.737,13119,controlled,800
3,s00000162,d00000171,9.705,2650,controlled,800
8,s00000139,d00000040,25.271,29795,controlled,800
1,s00000142,d00000138,23.863,26560,controlled,800
10,s00000048,d00000235,6.792,2825,controlled,800
7,s00000217,d00000119,5.781,752,controlled,800
0,s00000009,d00000166,2.077,2623,controlled,800
12,s00000245,d00000142,5.554,522,controlled,800
13,s00000215,d00000036,4.202,1622,controlled,800
1,s00000025,d00000194,7.213,1154,controlled,800
5,s00000099,d00000094,1.505,882,controlled,800
14,s00000157,d00000109,3.928,4608,controlled,800
1,s00000013,d00000062,0.885,1046,controlled,800
9,s00000048,d00000175,10.031,9860,controlled,800
13,s00000162,d00000164,0.755,975,controlled,800
13,s00000009,d00000007,17.293,25041,controlled,800
5,s00000193,d00000218,10.938,14701,controlled,800
15,s00000252,d00000245,3.453,4820,controlled,800
14,s00000224,d00000183,5.957,6756,controlled,800
11,s00000007,d00000140,17.245,2656,controlled,800
5,s00000042,d00000233,0.476,44,controlled,800
7,s00000184,d00000015,7.097,3605,controlled,800
3,s00000202,d00000033,13.791,17059,controlled,800
3,s00000037,d00000203,7.782,8919,controlled,800
15,s00000029,d00000054,6.554,8258,controlled,800
1,s00000143,d00000153,4.407,3155,controlled,800
0,s00000008,d00000081,2.485,3293,controlled,800
0,s00000121,d00000005,4.362,2050,controlled,800
7,s00000009,d00000234,4.885,2599,controlled,800
14,s00000243,d00000127,7.322,2284,controlled,800
10,s00000054,d00000206,6.645,1688,controlled,800
7,s00000064,d00000156,8.458,7841,controlled,800
15,s00000162,d00000214,4.923,5854,controlled,800
9,s00000041,d00000214,5.538,3699,controlled,800
8,s00000118,d00000107,5.355,2388,controlled,800
15,s00000207,d00000158,3.309,2028,controlled,800
7,s00000031,d00000122,3.24,2045,controlled,800
10,s00000138,d00000120,1.319,913,controlled,800
4,s00000165,d00000199,1.679,2191,controlled,800
5,s00000017,d00000225,1.388,239,controlled,800
4,s00000035,d00000049,5.73,1799,controlled,800
12,s00000042,d00000240,0.875,758,controlled,800
4,s00000215,d00000141,5.442,2449,controlled,800
6,s00000191,d00000251,1.255,1628,controlled,800
7,s00000046,d00000192,2.092,1096,controlled,800
4,s00000098,d00000047,4.775,1600,controlled,800
1,s00000080,d00000019,4.537,5381,controlled,800
2,s00000206,d00000242,7.685,1230,controlled,800
13,s00000206,d00000129,5.893,8133,controlled,800
3,s00000238,d00000189,2.967,2991,controlled,800
14,s00000059,d00000151,4.064,1203,controlled,800
10,s00000161,d00000254,7.902,7373,controlled,800
6,s00000054,d00000206,4.897,2233,controlled,800
10,s00000211,d00000080,9.223,6576,controlled,800
10,s00000072,d00000090,2.396,2712,controlled,800
5,s00000163,d00000168,2.497,1795,controlled,800
15,s00000207,d00000072,1.491,537,controlled,800
4,s00000100,d00000059,8.929,2518,controlled,800
12,s00000111,d00000145,13.04,11645,controlled,800
13,s00000212,d00000025,3.302,4712,controlled,800
7,s00000029,d00000007,2.923,2031,controlled,800
9,s00000191,d00000033,1.65,769,controlled,800
1,s00000114,d00000254,9.875,12116,controlled,800
4,s00000218,d00000111,3.811,2580,controlled,800
6,s00000230,d00000029,5.712,2445,controlled,800
2,s00000173,d00000191,5.159,4334,controlled,800
4,s00000188,d00000130,1.113,877,controlled,800
11,s00000186,d00000220,0.745,264,controlled,800
1,s00000034,d00000018,12.388,10864,controlled,800
13,s00000246,d00000078,10.478,2840,controlled,800
1,s00000050,d00000220,9.424,1131,controlled,800
1,s00000121,d00000162,4.144,1214,controlled,800
8,s00000220,d00000006,2.393,369,controlled,800
9,s00000180,d00000076,4.853,6770,controlled,800
11,s00000160,d00000238,2.131,739,controlled,800
3,s00000041,d00000087,6.023,5752,controlled,800
0,s00000040,d00000138,4.228,512,controlled,800
12,s00000111,d00000184,3.38,3188,controlled,800
4,s00000230,d00000180,5.922,3535,controlled,800
14,s00000130,d00000235,3.904,2296,controlled,800
1,s00000131,d00000253,2.023,1707,controlled,800
